,MONTH,HS_CODE,PRODUCT_NAME,TRADE_PARTNER_CODE,TRADE_PARTNER_NAME,TRADE_METHOD_CODE,TRADE_METHOD_NAME,ORIGIN_CODE,ORIGIN_NAME,QUANTITY,QUANTITY_UNIT,WEIGHT,WEIGHT_UNIT,TRADE_VALUE,AVG_UNIT_PRICE,GEO_LOCATION
3241,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,33,Inbound and outbound goods in bonded supervision places,44,Guangdong,2175,PCS,55,KG,7315,3.363218390804598,"23.3790° N, 113.7633° E"
3242,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,34,Logistics goods in areas under special customs supervision,31,Shanghai,264981,PCS,21445,KG,134177752,506.36744521305303,"31.2304° N, 121.4737° E"
3243,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,34,Logistics goods in areas under special customs supervision,32,Jiangsu,24025,PCS,104,KG,729744,30.37436004162331,"32.0603° N, 118.7969° E"
3244,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,34,Logistics goods in areas under special customs supervision,44,Guangdong,13,PCS,0,KG,278,21.384615384615383,"23.3790° N, 113.7633° E"
3245,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,34,Logistics goods in areas under special customs supervision,50,Chongqing,1680,PCS,21,KG,104873,62.42440476190476,"29.4316° N, 106.9123° E"
3246,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,34,Logistics goods in areas under special customs supervision,51,Sichuan,10136,PCS,28,KG,848426,83.7042225730071,"30.2638° N, 102.8055° E"
3247,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,34,Logistics goods in areas under special customs supervision,61,Shaanxi,91775,PCS,931,KG,5572169,60.715543448651594,"35.7452° N, 109.0085° E"
3248,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,39,other,31,Shanghai,1,PCS,0,KG,389,389.0,"31.2304° N, 121.4737° E"
3249,2021-06-28,84717011,固态硬盘(SSD),601,Australia,10,General trade,34,Anhui,280,PCS,52,KG,1260,4.5,"31.8257° N, 117.2264° E"
3250,2021-06-28,84717011,固态硬盘(SSD),601,Australia,10,General trade,44,Guangdong,5,PCS,0,KG,5125,1025.0,"23.3790° N, 113.7633° E"
3251,2021-06-28,84717011,固态硬盘(SSD),601,Australia,15,Import processing trade,31,Shanghai,3899,PCS,416,KG,303043,77.72326237496794,"31.2304° N, 121.4737° E"
3252,2021-06-28,84717011,固态硬盘(SSD),601,Australia,15,Import processing trade,32,Jiangsu,5,PCS,0,KG,341,68.2,"32.0603° N, 118.7969° E"
3253,2021-06-28,84717011,固态硬盘(SSD),601,Australia,15,Import processing trade,35,Fujian,8,PCS,1,KG,5845,730.625,"26.0789° N, 119.3062° E"
3254,2021-06-28,84717011,固态硬盘(SSD),601,Australia,15,Import processing trade,44,Guangdong,666,PCS,89,KG,84341,126.63813813813813,"23.3790° N, 113.7633° E"
